time,open,high,low,close
2019-11-22,687,692.75,683.55,692.75
2019-11-25,692.45,692.5,678,679.2
2019-11-26,678,679,666.6,672.85
2019-11-27,670.5,687.55,670.35,682.2
2019-11-28,679,689.9,677.05,684.05
2019-11-29,683.85,689.5,682.15,689.1
2019-12-02,688.2,694.95,687.45,688.5
2019-12-03,687,701.5,682.8,699.6
2019-12-04,700,704.75,693.35,693.35
2019-12-05,693.55,699,683.3,689.4
2019-12-06,687,694.55,672.5,675.8
2019-12-09,676,682.25,672,679.2
2019-12-10,679.2,685.2,674.05,684.25
2019-12-11,684.2,718.95,679.6,714.25
2019-12-12,715.95,726.5,708,709.5
2019-12-13,704.95,712.8,695.75,698.7
2019-12-16,702.3,706.5,698.65,700
2019-12-17,702.45,707,686.6,694.1
2019-12-18,693.2,698.05,688.95,695.9
2019-12-19,695.2,697.4,685,685.5
2019-12-20,687.95,690.75,677.15,677.15
2019-12-23,678.95,694.15,678.05,686.8
2019-12-24,690,696.75,689.2,694.05
2019-12-25,697,698.9,693.7,697.65
2019-12-26,699,714,696.5,714
2019-12-27,711.05,717.5,710.1,714.5
2019-12-30,712.3,717,702.5,710.35
2020-01-03,717.7,728.6,715.75,728.6
2020-01-06,737,752.5,735.95,742.15
2020-01-08,753,760,745.65,746.8
2020-01-09,743.5,743.5,724,732.6
2020-01-10,732.9,732.9,718.5,722
2020-01-13,719.5,735.75,716.2,735.75
2020-01-14,732.85,748.4,727.5,739.1
2020-01-15,740.7,743.5,732.1,742.15
2020-01-16,742.15,746.2,733.5,737.9
2020-01-17,737.8,745.25,735.25,736
2020-01-20,740.05,740.05,735.4,738.5
2020-01-21,742,747.5,730.2,737.45
2020-01-22,737.45,739.7,730.75,738
2020-01-23,738.2,740,733,737.75
2020-01-24,737.5,744.85,734.3,744.85
2020-01-27,750,786.9,750,785.7
2020-01-28,785.6,787.9,771.05,777.5
2020-01-29,777,778.9,760.8,775.2
2020-01-30,777.1,796.25,777,781.95
2020-01-31,779.95,784.5,770.1,781.45
2020-02-03,782.15,792.2,762.25,769.8
2020-02-04,768.4,768.4,745.9,752.9
2020-02-05,755.8,759.7,734.05,748.1
2020-02-06,747.5,761.7,741.5,756.2
2020-02-07,756.5,781.5,750.1,776.55
2020-02-10,780.05,791.55,777.05,791.55
2020-02-11,787.55,799.85,783.35,789.55
2020-02-12,788.5,788.5,771.7,783.85
2020-02-13,792.45,798.5,788.2,796.85
2020-02-14,794,804.1,785,800.3
2020-02-17,797.2,801.6,788.3,792.2
2020-02-18,797.95,806.5,794.55,800
2020-02-19,806.9,819.5,803.85,811.1
2020-02-20,811.15,831.55,810.45,820
2020-02-21,830,861.85,827.3,850.75
2020-02-25,875,912.75,869.05,878
2020-02-26,882.85,908.85,860,864.45
2020-02-27,894.4,896.05,872.5,890.15
2020-02-28,900,900,826,846.4
2020-03-02,859,867.8,825.85,854.05
2020-03-03,846.85,862,827.1,859.1
2020-03-04,865.2,868.8,847,856.65
2020-03-05,859.4,865,832.1,862.8
2020-03-06,870.05,901,869.35,888.5
2020-03-10,900,952.95,900,938.15
2020-03-11,947.7,948,922,937.25
2020-03-12,930,946,870.2,897
2020-03-13,882.35,913.8,872.1,874.45
2020-03-16,890.8,918.1,765,795.4
2020-03-17,789.85,834.4,730.2,812.1
2020-03-18,795.8,880.9,775.2,838.35
2020-03-19,838.1,853.2,791.75,845.65
2020-03-20,873.9,879.95,820,849.55
2020-03-23,849,860.3,805,842.3
2020-03-24,869,954.4,860.8,952.05
